71 | w 43 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
72 | w 44 | f 1 | p 2 | 0.0002417327 0 0.0001470588 1 0.0004527618 0 0.00016728 
72 | w 44 | f 1 | p 0.0002417327 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
73 | w 44 | f 2 | p 2 | 0.0002417327 0 0.0001470588 1 0.0004527618 0 0.00016728 
73 | w 44 | f 2 | p 0.0002417327 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
74 | w 47 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
74 | w 47 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
75 | w 5 | f 6 | p 2 | 0.0002417327 1 0.0004411764 1 0.0004527618 0 0.00016728 
75 | w 5 | f 6 | p 0.0002417327 | 1 0.0004411764 1 0.0004527618 0 0.00016728 0.00016728 
76 | w 50 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
76 | w 50 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
77 | w 500 | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
77 | w 500 | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
78 | w 55 | f 1 | p 0 | 4.83465e-05 0 0.0001470588 1 0.0004527618 0 0.00016728 
78 | w 55 | f 1 | p 4.83465e-05 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
79 | w 5b | f 1 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
79 | w 5b | f 1 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
80 | w 5x86 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
80 | w 5x86 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
81 | w 6 | f 4 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
81 | w 6 | f 4 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
82 | w 65 | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
82 | w 65 | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
83 | w 650k | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
83 | w 650k | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
84 | w 6m | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
84 | w 6m | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
85 | w 6th | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
85 | w 6th | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
86 | w 7 | f 4 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
86 | w 7 | f 4 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
87 | w 700 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
87 | w 700 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
88 | w 777 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
88 | w 777 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
89 | w 8 | f 2 | p 1 | 0.0001450396 3 0.0010294117 2 0.000754603 0 0.00016728 
89 | w 8 | f 2 | p 0.0001450396 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
90 | w 8088 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
90 | w 8088 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
91 | w 815n | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
91 | w 815n | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
92 | w 832 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
92 | w 832 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
93 | w 9 | f 7 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
93 | w 9 | f 7 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
94 | w 90 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
94 | w 90 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
95 | w 900 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
95 | w 900 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
96 | w 95 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
96 | w 95 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
97 | w 9575 | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
97 | w 9575 | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
98 | w 99 | f 4 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
98 | w 99 | f 4 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
99 | w 9th | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
99 | w 9th | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
100 | w a | f 8 | p 155 | 0.0150357764 8 0.0025 9 0.0028674916 1 0.00050184 
100 | w a | f 8 | p 0.0150357764 | 8 0.0025 9 0.0028674916 1 0.00050184 0.00050184 
101 | w a | f 9 | p 155 | 0.0150357764 8 0.0025 9 0.0028674916 1 0.00050184 
101 | w a | f 9 | p 0.0150357764 | 8 0.0025 9 0.0028674916 1 0.00050184 0.00050184 
102 | w a | f 155 | p 155 | 0.0150357764 8 0.0025 9 0.0028674916 1 0.00050184 
102 | w a | f 155 | p 0.0150357764 | 8 0.0025 9 0.0028674916 1 0.00050184 0.00050184 
103 | w a5 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
103 | w a5 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
104 | w aadhaar | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
104 | w aadhaar | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
105 | w able | f 1 | p 1 | 0.0001450396 1 0.0004411764 0 0.0001509206 0 0.00016728 
105 | w able | f 1 | p 0.0001450396 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
106 | w about | f 1 | p 8 | 0.0008218913 1 0.0004411764 1 0.0004527618 0 0.00016728 
106 | w about | f 1 | p 0.0008218913 | 1 0.0004411764 1 0.0004527618 0 0.00016728 0.00016728 
